Tesla,Musk,Gigafactory,Elon Mask
https://en.wikipedia.org/wiki/Elon_Musk,140,474,6,0
https://en.wikipedia.org/wiki/Tesla_Solar_Roof,82,28,7,0
https://web.archive.org/web/20140414070701/http://www.mercurynews.com/business/ci_25541126/rocket-man-otherworldy-ambitions-elon-musk,11,43,0,0
https://web.archive.org/web/20200730152927/https://www.latimes.com/business/story/2019-09-23/solarcity-tesla-merger-shareholder-lawsuit,28,23,0,0
https://en.wikipedia.org/wiki/DearMoon_project,1,4,0,0
https://en.wikipedia.org/wiki/Racing_Extinction,3,1,0,0
https://lo.wikipedia.org/wiki/%E0%BA%AD%E0%BA%B5%E0%BA%A5%E0%BA%AD%E0%BA%99_%E0%BA%A1%E0%BA%B1%E0%BA%94,0,1,0,0
https://en.wikipedia.org/wiki/Amancio_Ortega,0,1,0,0
https://en.wikipedia.org/wiki/VentureBeat,0,0,0,0
https://en.wikipedia.org/wiki/Nature_Communications,0,0,0,0
